Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSWD.JK,Bank Of India Indonesia Tbk PT,Indonesia,"2,690.00","1,245.00",,,,"3,688,866,845.00","3,688,866,845.00","3,040,385,737.74","2,249,650,987.86","2,249,650,987.86","6,815,156,755,265.00","6,128,562,060,955.00","6,060,045,883,689.00","4,255,493,556,351.00","3,721,363,459,751.00","3,357,793,603,202.00","2,750,121,056,629.00","2,727,803,735,018.00","2,236,747,328,869.00","2,663,693,880,300.00",1.6%,1.0%,0.1%,-1.1%,0.5%
BTEK.JK,Bumi Teknokultura Unggul Tbk PT,Indonesia,3.00,50.00,50.00,50.00,50.00,"46,277,496,376.00","46,277,496,376.00","46,277,496,376.00","46,277,496,376.00","46,277,496,376.00","3,894,062,592,724.00","4,055,750,906,772.00","4,142,039,803,860.00","4,173,043,810,054.00","4,223,727,970,626.00","3,431,562,216,702.00","2,948,906,288,697.00","2,939,127,518,441.00","2,611,453,882,957.00","2,561,356,330,772.00",-12.8%,-2.8%,-3.2%,-3.2%,-13.6%
BTEL.JK,Bakrie Telecom Tbk PT,Indonesia,,,,,,"36,712,665,755.00","36,712,665,755.00","36,712,665,755.00","36,712,665,755.00","36,663,904,635.00","60,270,000,000.00","33,275,000,000.00","20,758,000,000.00","3,266,000,000.00","11,234,000,000.00","5,944,673,000,000.00","5,890,102,000,000.00","5,756,644,000,000.00","11,306,819,000,000.00","14,963,526,000,000.00",17.0%,-436.7%,-784.6%,"-1,491.3%",2.0%
BTON.JK,Betonjaya Manunggal Tbk PT,Indonesia,444.00,444.00,432.00,430.00,300.00,"720,000,000.00","720,000,000.00","720,000,000.00","720,000,000.00","720,000,000.00","396,703,729,801.00","361,613,066,667.00","344,552,996,651.00","270,669,540,064.00","234,905,016,318.00","117,047,220,201.00","104,369,118,350.00","106,347,991,806.00","72,903,934,431.00","46,198,587,257.00",8.0%,5.4%,13.7%,5.0%,2.0%
BTPN.JK,PT Bank SMBC Indonesia Tbk,Indonesia,"2,200.00","2,612.73","2,642.65","2,612.73","3,101.37","10,645,945,748.00","8,079,194,038.49","8,079,022,964.61","8,079,022,964.61","8,076,103,776.46","241,096,427,000,000.00","201,448,392,000,000.00","209,169,704,000,000.00","191,917,794,000,000.00","183,165,978,000,000.00","186,350,388,000,000.00","160,165,288,000,000.00","169,756,680,000,000.00","155,838,867,000,000.00","150,201,225,000,000.00",1.9%,1.7%,2.3%,2.1%,1.4%
BTPS.JK,Bank BTPN Syariah Tbk PT,Indonesia,925.00,"1,690.00","2,790.00","3,580.00","3,750.00","7,703,457,000.00","7,703,083,900.00","7,702,432,000.00","7,701,602,800.00","7,701,200,000.00","21,747,580,000,000.00","21,435,366,000,000.00","21,161,976,000,000.00","18,543,856,000,000.00","16,435,005,000,000.00","12,430,986,000,000.00","12,658,233,000,000.00","12,753,981,000,000.00","11,448,956,000,000.00","10,556,256,000,000.00",6.3%,6.5%,11.5%,10.7%,7.1%
BUAH.JK,Segar Kumala Indonesia Tbk PT,Indonesia,"1,960.00","2,120.00",890.00,,,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","394,087,940,749.00","340,773,157,041.00","345,659,694,995.00","247,735,899,391.00","205,011,512,108.00","203,710,409,154.00","162,385,796,272.00","191,733,238,719.00","193,413,390,874.00","171,324,893,489.00",12.9%,14.7%,11.8%,21.3%,21.5%
BUDI.JK,Budi Starch & Sweetener Tbk PT,Indonesia,226.00,278.00,226.00,179.00,99.00,"4,498,997,362.00","4,498,997,362.00","4,498,997,362.00","4,498,997,362.00","4,498,997,362.00","3,817,011,000,000.00","3,327,846,000,000.00","3,173,651,000,000.00","2,993,218,000,000.00","2,963,007,000,000.00","2,197,787,000,000.00","1,736,519,000,000.00","1,728,614,000,000.00","1,605,521,000,000.00","1,640,851,000,000.00",2.4%,3.9%,3.8%,3.8%,2.3%
BUKA.JK,Bukalapak.com Tbk PT,Indonesia,125.00,216.00,262.00,430.00,,"103,121,636,167.00","103,099,967,067.00","103,066,477,454.00","103,062,019,354.00","103,062,019,354.00","24,795,038,990,000.00","26,124,777,128,000.00","27,406,404,823,000.00","26,615,549,957,000.00","2,593,657,437,000.00","1,094,243,181,000.00","792,029,012,000.00","907,921,366,000.00","3,119,931,208,000.00","985,821,769,000.00",-6.0%,-5.0%,8.4%,-10.3%,-78.8%
BUKK.JK,Bukaka Teknik Utama Tbk PT,Indonesia,885.00,"1,100.00","1,200.00","1,215.00","1,105.00","2,640,452,000.00","2,640,452,000.00","2,640,452,000.00","2,640,452,000.00","2,640,452,000.00","9,152,658,730,000.00","8,379,688,530,000.00","6,259,364,267,000.00","5,226,470,342,000.00","4,976,221,593,000.00","4,067,303,804,000.00","3,845,561,421,000.00","2,431,263,282,000.00","1,907,850,319,000.00","2,135,099,539,000.00",7.2%,11.5%,9.8%,11.1%,11.0%
BULL.JK,Buana Lintas Lautan Tbk PT,Indonesia,120.00,154.00,178.00,238.00,350.00,"14,085,851,449.00","14,085,851,449.00","13,400,525,196.00","12,861,818,996.00","11,365,338,377.00","5,763,945,654,275.00","5,876,961,770,295.00","8,577,764,386,500.00","11,625,186,282,840.00","7,645,870,411,960.00","3,498,247,277,945.00","4,019,951,148,125.00","6,993,540,515,250.00","6,710,733,057,600.00","3,717,760,942,560.00",7.7%,-8.7%,-32.1%,5.8%,5.2%
BUMI.JK,Bumi Resources Tbk PT,Indonesia,118.00,85.00,161.00,67.00,72.00,"371,335,392,068.00","371,320,705,024.00","371,320,676,795.00","74,274,746,007.00","68,228,705,555.00","66,989,123,328,930.00","64,700,477,455,320.00","69,856,451,072,485.00","60,188,968,825,500.00","48,136,846,591,080.00","20,903,431,608,710.00","21,982,799,688,325.00","25,986,369,974,455.00","50,977,103,535,750.00","46,274,608,663,920.00",0.8%,-0.3%,1.2%,0.4%,-10.4%
BUVA.JK,Bukit Uluwatu Villa Tbk PT,Indonesia,58.00,61.00,60.00,60.00,55.00,"20,590,473,213.00","20,590,473,213.00","6,811,269,200.00","6,811,269,200.00","6,811,269,200.00","2,118,632,498,695.00","1,708,249,420,512.00","1,843,780,969,151.00","1,862,859,398,129.00","2,277,220,195,897.00","766,590,359,757.00","751,990,993,651.00","2,075,213,703,171.00","1,826,468,187,202.00","1,815,532,843,199.00",1.1%,1.0%,-10.6%,-17.5%,-36.5%
BVIC.JK,Bank Victoria International Tbk PT,Indonesia,89.00,99.00,107.00,204.00,114.00,"15,848,532,906.00","15,848,235,778.00","15,848,234,714.00","10,487,132,568.00","8,951,947,039.00","31,045,989,252,000.00","29,624,240,421,000.00","25,932,001,125,000.00","24,947,143,045,000.00","26,221,407,472,000.00","27,112,529,594,000.00","25,799,455,411,000.00","22,231,537,644,000.00","21,932,717,871,000.00","23,577,032,218,000.00",0.5%,0.5%,1.4%,-0.6%,-1.1%
BWPT.JK,Eagle High Plantations Tbk PT,Indonesia,59.00,54.00,65.00,74.00,144.00,"31,122,368,200.00","31,122,368,200.00","31,301,659,600.00","31,525,291,000.00","31,525,291,000.00","9,794,380,000,000.00","10,183,510,000,000.00","12,223,568,000,000.00","12,045,048,000,000.00","15,060,968,000,000.00","7,342,291,000,000.00","7,991,960,000,000.00","10,173,925,000,000.00","9,987,224,000,000.00","11,573,313,000,000.00",4.7%,-1.1%,-0.9%,-14.2%,-7.5%
BYAN.JK,Bayan Resources Tbk PT,Indonesia,"20,250.00","19,900.00","21,000.00","2,700.00","1,547.50","33,333,335,000.00","33,333,335,000.00","33,333,335,000.00","33,333,335,000.00","33,333,335,000.00","56,660,225,978,060.00","53,025,303,567,320.00","61,411,067,233,725.00","34,680,398,721,750.00","22,740,939,308,880.00","19,430,501,585,070.00","22,561,397,347,530.00","30,354,369,869,670.00","8,133,982,892,250.00","10,644,724,321,920.00",34.6%,44.2%,92.3%,80.3%,29.4%
CAKK.JK,Cahayaputra Asa Keramik Tbk PT,Indonesia,150.00,185.00,202.00,98.00,52.00,"1,203,300,219.00","1,203,300,219.00","1,203,300,219.00","1,203,300,219.00","1,203,300,219.00","488,293,543,875.00","466,022,798,636.00","447,970,072,779.00","441,223,941,897.00","354,900,568,484.00","303,618,952,389.00","265,347,844,044.00","195,448,110,526.00","198,462,402,663.00","129,373,263,191.00",-3.1%,-7.4%,3.1%,4.4%,0.7%
CAMP.JK,Campina Ice Cream Industry Tbk PT,Indonesia,256.00,402.00,306.00,290.00,302.00,"5,885,000,000.00","5,885,000,000.00","5,885,000,000.00","5,885,000,000.00","5,885,000,000.00","1,083,173,624,832.00","1,088,726,193,209.00","1,074,777,460,412.00","1,146,235,578,463.00","1,086,873,666,641.00","148,194,431,953.00","136,086,922,155.00","133,323,429,397.00","119,786,398,572.00","125,161,736,939.00",11.4%,14.9%,13.9%,11.2%,5.3%
CANI.JK,Capitol Nusantara Indonesia Tbk PT,Indonesia,49.00,50.00,81.00,150.00,112.00,"833,440,000.00","833,440,000.00","833,440,000.00","833,440,000.00","833,440,000.00","205,449,524,160.00","219,607,682,210.00","297,781,644,330.00","350,591,666,620.00","412,259,394,000.00","716,930,665,260.00","666,771,134,370.00","689,150,271,690.00","703,615,666,715.00","731,175,279,560.00",-10.1%,-20.3%,-8.7%,-7.7%,-15.9%
CARE.JK,Metro Healthcare Indonesia Tbk PT,Indonesia,189.00,160.00,476.00,515.00,322.00,"33,250,000,000.00","33,250,000,000.00","33,250,000,000.00","33,250,000,000.00","33,250,000,000.00","4,021,105,412,384.00","4,137,006,257,713.00","4,234,621,132,412.00","4,211,211,802,258.00","3,445,671,264,153.00","1,002,718,575,656.00","1,039,282,249,712.00","1,027,729,329,890.00","912,943,958,421.00","154,913,824,897.00",-1.9%,-2.5%,-2.2%,0.2%,0.5%
CARS.JK,Industri Dan Perdagangan Bintraco Dharma Tbk PT,Indonesia,90.00,100.00,84.00,50.00,50.00,"15,000,000,000.00","15,000,000,000.00","15,000,000,000.00","15,000,000,000.00","15,000,000,000.00","3,497,679,634,797.00","3,868,921,058,006.00","3,771,473,110,805.00","4,325,269,337,218.00","5,687,165,848,188.00","2,397,606,060,112.00","2,992,105,948,564.00","3,109,059,538,545.00","3,835,321,573,099.00","4,759,575,880,150.00",8.9%,8.1%,5.2%,-7.7%,-13.9%
CASA.JK,Capital Financial Indonesia Tbk PT,Indonesia,565.00,620.00,720.00,530.00,376.00,"54,476,269,803.00","54,476,269,803.00","54,476,269,803.00","54,476,243,342.00","54,476,243,342.00","31,214,159,000,000.00","30,807,448,000,000.00","34,937,618,000,000.00","38,129,561,000,000.00","33,838,539,000,000.00","22,074,642,000,000.00","22,185,483,000,000.00","26,049,885,000,000.00","29,841,502,000,000.00","26,032,804,000,000.00",0.6%,0.4%,0.1%,0.2%,0.4%
CASH.JK,Cashlez Worldwide Indonesia Tbk PT,Indonesia,71.00,110.00,136.00,270.00,468.00,"1,431,125,517.00","1,431,125,517.00","1,431,125,517.00","1,431,125,517.00","1,431,108,207.00","233,630,634,230.00","229,841,870,115.00","225,487,306,294.00","154,983,792,089.00","199,871,884,758.00","112,500,626,991.00","74,943,098,454.00","40,939,097,867.00","49,824,137,707.00","87,012,115,495.00",-18.6%,-16.7%,-4.9%,-4.4%,-7.2%
CASS.JK,Cahaya Aero Services Tbk PT,Indonesia,"1,900.00",900.00,416.00,468.00,270.00,"2,086,950,000.00","2,086,950,000.00","2,086,950,000.00","2,086,950,000.00","2,086,950,000.00","2,655,770,000,000.00","1,919,403,000,000.00","1,686,235,000,000.00","1,575,065,000,000.00","1,484,888,000,000.00","1,033,355,000,000.00","886,975,000,000.00","923,622,000,000.00","991,349,000,000.00","1,030,683,000,000.00",39.4%,31.4%,25.5%,13.9%,-0.2%
CBDK.JK,Bangun Kosambi Sukses Pt Tbk,Indonesia,,,,,,"5,102,050,000.00","5,668,944,500.00","5,668,944,500.00","5,668,944,500.00",,"19,081,600,423,000.00","17,097,635,359,000.00","15,755,534,011,000.00","13,132,346,279,000.00",,"10,752,564,107,000.00","9,415,756,116,000.00","8,472,901,537,000.00","12,700,105,529,000.00",,6.5%,5.5%,1.8%,,
CBMF.JK,Cahaya Bintang Medan Tbk PT,Indonesia,50.00,50.00,50.00,98.00,570.00,"1,875,000,000.00","1,875,000,000.00","1,875,000,000.00","1,875,000,000.00","1,875,000,000.00","365,809,492,326.00","354,869,039,524.00","344,228,909,175.00","273,741,128,990.00","236,349,002,148.00","116,211,054,526.00","104,060,429,263.00","94,975,891,931.00","85,030,777,174.00","74,074,248,005.00",-0.5%,0.6%,2.4%,14.5%,7.1%
CBPE.JK,PT Citra Buana Prasida Tbk,Indonesia,191.00,136.00,,,,"1,356,250,000.00","1,356,250,000.00","1,356,250,000.00","1,356,250,000.00","1,356,250,000.00","334,747,720,751.00","300,951,114,643.00","210,442,018,880.00","195,068,128,942.00","188,198,605,955.00","53,606,378,820.00","74,408,696,725.00","61,822,019,238.00","61,362,155,963.00","84,622,902,457.00",19.3%,18.0%,11.8%,17.7%,12.5%
CBRE.JK,Cakra Buana Resources Energi PT Tbk,Indonesia,19.00,50.00,,,,"4,538,065,482.00","4,538,031,621.00","3,800,000,000.00","3,800,000,000.00","3,800,000,000.00","333,652,847,172.00","352,965,594,591.00","129,927,330,048.00","87,236,152,691.00","118,299,499,762.00","216,532,352,230.00","184,282,699,998.00","38,602,051,087.00","85,906,610,800.00","119,246,722,168.00",-14.8%,0.6%,7.3%,3.4%,-1.4%
CBUT.JK,Citra Borneo Utama Tbk PT,Indonesia,945.00,"1,765.00","2,180.00",,,"3,125,000,000.00","3,125,000,000.00","3,125,000,000.00","3,125,000,000.00","3,125,000,000.00","4,200,319,000,000.00","4,336,194,000,000.00","3,019,974,000,000.00","2,025,802,000,000.00","1,938,141,000,000.00","3,231,021,000,000.00","3,433,778,000,000.00","2,250,454,000,000.00","1,937,097,000,000.00","2,147,639,000,000.00",1.8%,4.8%,11.3%,15.3%,-8.8%
CCSI.JK,Communication Cable Systems Indonesia Tbk PT,Indonesia,288.00,470.00,695.00,725.00,201.67,"1,199,999,998.00","1,199,999,998.00","1,199,999,998.00","1,199,999,998.00","1,200,004,800.02","665,973,603,000.00","751,953,677,000.00","795,180,378,000.00","523,443,664,000.00","500,778,546,000.00","246,712,712,000.00","342,720,673,000.00","358,189,369,000.00","159,131,850,000.00","161,596,052,000.00",0.4%,-3.6%,9.0%,10.1%,7.4%
CEKA.JK,Wilmar Cahaya Indonesia Tbk PT,Indonesia,"2,080.00","1,845.00","1,980.00","1,880.00","1,785.00","595,000,000.00","595,000,000.00","595,000,000.00","595,000,000.00","595,000,000.00","2,385,281,736,023.00","1,893,560,797,758.00","1,718,287,453,575.00","1,697,387,196,209.00","1,566,673,828,068.00","476,490,666,860.00","251,275,135,465.00","168,244,583,827.00","310,020,233,374.00","305,958,833,204.00",19.3%,10.8%,16.6%,14.5%,15.7%
CENT.JK,Centratama Telekomunikasi Indonesia Tbk PT,Indonesia,45.00,55.00,112.00,232.00,142.00,"31,183,464,900.00","31,183,464,900.00","31,183,464,900.00","31,183,464,900.00","31,183,464,900.00","27,908,563,000,000.00","20,040,897,000,000.00","20,101,049,000,000.00","19,798,322,000,000.00","7,629,153,000,000.00","23,485,546,000,000.00","21,506,856,000,000.00","20,693,476,000,000.00","17,740,385,000,000.00","5,157,414,000,000.00",-6.5%,-3.1%,-11.5%,-1.6%,-6.3%
CFIN.JK,Clipan Finance Indonesia Tbk PT,Indonesia,308.00,490.00,300.00,250.00,234.00,"3,984,520,457.00","3,984,520,457.00","3,984,520,457.00","3,984,520,457.00","3,984,520,457.00","10,117,766,411,000.00","9,911,254,148,000.00","8,049,255,816,000.00","7,123,904,019,000.00","10,917,456,216,000.00","4,352,882,158,000.00","4,384,495,690,000.00","2,938,173,032,000.00","2,317,783,818,000.00","6,172,266,324,000.00",2.7%,11.5%,5.3%,0.4%,0.5%
CGAS.JK,Citra Nusantara Gemilang Tbk PT,Indonesia,99.00,,,,,"1,771,525,672.00","1,771,429,000.00","1,771,429,000.00","1,771,429,000.00","1,771,429,000.00","361,347,930,430.00","190,740,337,219.00","179,775,354,436.00","183,227,430,507.00","166,922,087,758.00","97,245,089,290.00","108,549,642,846.00","102,275,450,942.00","90,990,894,329.00","78,047,786,585.00",5.2%,6.0%,8.4%,2.8%,
CHEM.JK,Chemstar Indonesia Tbk PT,Indonesia,63.00,120.00,159.00,,,"1,700,032,794.00","1,700,032,794.00","1,700,000,000.00","1,700,000,000.00","1,700,000,000.00","170,328,129,268.00","148,369,110,899.00","137,718,996,489.00","90,598,393,183.00","75,216,822,438.00","54,957,129,793.00","37,177,780,014.00","25,210,354,340.00","48,497,676,787.00","51,484,459,805.00",3.9%,0.8%,7.9%,20.0%,8.2%
CHIP.JK,Pelita Teknologi Global PT Tbk,Indonesia,"1,465.00","2,270.00",,,,"806,000,000.00","806,000,000.00","806,000,000.00","806,000,000.00","806,000,000.00","119,397,434,852.00","113,911,852,586.00","66,758,330,063.00","35,004,579,104.00","591,570,912.00","53,910,626,197.00","54,165,745,420.00","46,915,809,782.00","28,507,621,298.00","1,156,324,945.00",10.3%,17.5%,24.4%,37.0%,
CINT.JK,Chitose Internasional Tbk PT,Indonesia,186.00,165.00,234.00,252.00,240.00,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","428,616,854,532.00","445,283,742,713.00","426,433,320,832.00","423,695,494,085.00","498,020,612,974.00","125,460,038,929.00","153,217,515,536.00","145,238,907,149.00","134,999,457,535.00","112,663,245,901.00",5.2%,3.6%,0.5%,-21.5%,1.3%
CITA.JK,Pt Cita Mineral Investindo Tbk,Indonesia,"3,660.00","2,110.00","3,870.00","3,220.00","2,980.00","3,960,361,250.00","3,960,361,250.00","3,960,361,250.00","3,960,361,250.00","3,960,361,250.00","7,943,806,720,848.00","6,224,306,811,480.00","5,805,953,876,498.00","4,305,752,389,646.00","4,134,800,442,987.00","322,598,456,175.00","702,908,076,366.00","932,716,882,196.00","635,243,465,372.00","680,906,529,352.00",7.1%,2.3%,7.0%,9.2%,18.4%
CITY.JK,Natura City Developments Tbk PT,Indonesia,106.00,63.00,142.00,175.00,87.00,"5,405,188,966.00","5,405,188,966.00","5,405,188,966.00","5,405,188,966.00","5,402,681,845.00","1,052,167,861,172.00","972,729,281,465.00","933,973,335,744.00","951,332,974,900.00","952,922,512,425.00","185,479,663,939.00","115,128,633,737.00","79,333,531,760.00","76,993,446,135.00","80,554,999,031.00",1.1%,0.5%,-2.1%,0.4%,7.4%
CLAY.JK,Citra Putra Realty Tbk PT,Indonesia,266.00,130.00,720.00,820.00,"1,335.00","2,570,000,000.00","2,570,000,000.00","2,570,000,000.00","2,570,000,000.00","2,570,000,000.00","539,550,800,250.00","567,734,128,176.00","598,120,793,350.00","604,675,696,445.00","621,305,510,843.00","526,563,486,423.00","561,761,061,041.00","599,121,925,112.00","564,747,416,739.00","506,548,139,835.00",2.6%,2.4%,-7.5%,-14.1%,-15.9%
CLEO.JK,Sariguna Primatirta Tbk PT,Indonesia,"1,575.00",710.00,555.00,470.00,500.00,"11,959,987,600.00","11,959,987,600.00","11,959,987,600.00","11,959,987,600.00","11,993,500,000.00","2,663,387,006,912.00","2,296,227,711,688.00","1,790,304,606,780.00","1,348,181,576,913.00","1,310,940,121,622.00","733,610,559,278.00","781,642,680,910.00","581,132,890,435.00","346,601,683,606.00","416,194,010,942.00",24.4%,20.2%,16.0%,17.3%,13.2%
CLPI.JK,Colorpak Indonesia Tbk PT,Indonesia,"1,060.00",985.00,935.00,"1,025.00",755.00,"306,338,500.00","306,338,500.00","306,338,500.00","306,338,500.00","306,338,500.00","801,657,692,915.00","776,502,261,248.00","759,845,633,795.00","774,026,897,674.00","648,203,498,284.00","228,355,237,745.00","220,775,281,426.00","237,697,849,075.00","267,675,998,378.00","158,097,415,467.00",8.8%,8.5%,5.0%,7.2%,7.7%
CMNP.JK,Citra Marga Nusaphala Persada Tbk PT,Indonesia,"1,430.00","1,665.00","2,190.00","2,000.00","1,540.00","6,014,001,164.00","5,436,479,508.00","5,435,300,645.00","5,431,958,625.00","5,431,247,916.00","23,923,231,402,000.00","21,575,964,536,000.00","18,386,596,160,000.00","15,445,908,289,000.00","16,497,923,247,000.00","9,371,817,541,000.00","8,564,815,948,000.00","6,620,646,477,000.00","4,857,431,842,000.00","6,688,728,938,000.00",5.9%,7.3%,6.9%,5.7%,3.2%
CMNT.JK,Cemindo Gemilang Tbk PT,Indonesia,880.00,"1,070.00",905.00,"1,105.00",,"17,125,504,000.00","17,125,504,000.00","17,125,504,000.00","17,125,504,000.00","17,125,504,000.00","17,104,348,000,000.00","17,955,984,000,000.00","18,133,087,000,000.00","18,636,106,000,000.00","19,043,340,000,000.00","13,953,221,000,000.00","13,974,223,000,000.00","14,292,767,000,000.00","14,587,253,000,000.00","16,303,310,000,000.00",-3.1%,1.9%,-0.5%,2.4%,2.1%
CMPP.JK,AirAsia Indonesia Tbk PT,Indonesia,86.00,125.00,192.00,184.00,184.00,"10,685,124,441.00","10,685,124,441.00","10,685,124,441.00","10,685,124,441.00","10,685,124,441.00","5,716,560,756,692.00","6,116,294,571,351.00","5,356,962,889,162.00","5,149,094,524,206.00","6,080,516,085,752.00","15,151,336,468,921.00","14,018,410,448,757.00","12,172,269,741,814.00","10,354,172,604,375.00","8,990,927,886,117.00",-25.7%,-18.5%,-31.3%,-34.5%,-70.6%
CMRY.JK,Cisarua Mountain Dairy Tbk PT,Indonesia,"5,400.00","4,010.00","4,250.00","3,400.00",,"7,934,683,000.00","7,934,683,000.00","7,934,683,000.00","7,934,683,000.00","7,934,683,000.00","8,191,571,000,000.00","7,046,857,000,000.00","6,223,251,000,000.00","5,603,779,000,000.00","1,086,782,000,000.00","1,439,423,000,000.00","1,105,529,000,000.00","964,919,000,000.00","906,840,000,000.00","352,403,000,000.00",24.9%,23.4%,22.6%,30.2%,23.9%
CNKO.JK,Exploitasi Energi Indonesia Tbk PT,Indonesia,22.00,50.00,50.00,50.00,50.00,"8,956,361,206.00","8,956,361,206.00","8,956,361,206.00","8,956,361,206.00","8,956,361,206.00","909,750,902,000.00","976,451,944,000.00","905,892,550,000.00","1,206,842,636,000.00","1,110,213,240,000.00","2,165,497,420,000.00","2,303,406,754,000.00","2,190,849,128,000.00","2,431,647,038,000.00","2,260,164,528,000.00",10.3%,-3.6%,-4.0%,-6.3%,-19.5%
CNMA.JK,Nusantara Sejahtera Raya Tbk PT,Indonesia,202.00,270.00,,,,"83,345,000,000.00","83,345,000,000.00","83,345,000,000.00","83,345,000,000.00","83,345,000,000.00","7,008,510,000,000.00","7,370,131,000,000.00","6,759,546,000,000.00","6,417,741,000,000.00","6,014,057,000,000.00","2,407,808,000,000.00","2,410,795,000,000.00","4,106,897,000,000.00","2,461,178,000,000.00","1,896,939,000,000.00",13.9%,13.5%,9.6%,-7.7%,-11.7%
